round,pick,player,position,nationality,team,school/club team,Traded to a different team,Status,Draft year
1,3,Jaylen Brown,SF/SG,United States,Boston Celtics,California,Yes,College Freshman,2016
1,4,Dragan Bender,PF/C,Croatia,Phoenix Suns,Maccabi Tel Aviv (Israel),No,Playing Internationally,2016
1,5,Kris Dunn,PG,United States,Minnesota Timberwolves,Providence,No,College Junior,2016
1,6,Buddy Hield,SG,Bahamas,New Orleans Pelicans,Oklahoma,No,College Senior,2016
1,7,Jamal Murray,PG/SG,Canada,Denver Nuggets,Kentucky,Yes,College Freshman,2016
1,8,Marquese Chriss,PF,United States,Sacramento Kings,Washington,Yes,College Freshman,2016
1,9,Jakob Pöltl,C,Austria,Toronto Raptors,Utah,Yes,College Sophmore,2016
1,10,Thon Maker,PF,Australia,Milwaukee Bucks,Orangeville Prep/Athlete Institute,No,College Senior,2016
1,11,Domantas Sabonis,C/PF,Lithuania,Orlando Magic,Gonzaga,Yes,College Sophmore,2016
1,12,Taurean Prince,SF,United States,Utah Jazz,Baylor,Yes,College Senior,2016
1,13,Georgios Papagiannis,C,Greece,Phoenix Suns,Panathinaikos (Greece),Yes,Playing Internationally,2016
1,14,Denzel Valentine,SG/SF,United States,Chicago Bulls,Michigan State,No,College Senior,2016
1,15,Juan Hernangómez,SF/PF,Spain,Denver Nuggets,Movistar Estudiantes (Spain),Yes,Playing Internationally,2016
1,16,Guerschon Yabusele,PF,France,Boston Celtics,Rouen Métropole,Yes,College Freshman,2016
1,17,Wade Baldwin,PG,United States,Memphis Grizzlies,Vanderbilt,No,College Sophmore,2016
1,18,Henry Ellenson,PF,United States,Detroit Pistons,Marquette,No,College Freshman,2016
1,19,Malik Beasley,SG,United States,Denver Nuggets,Florida State,Yes,College Freshman,2016
1,20,Caris LeVert,SG,United States,Indiana Pacers,Michigan,Yes,College Senior,2016
1,21,DeAndre' Bembry,SF,United States,Atlanta Hawks,Saint Joseph's,No,College Junior,2016
1,22,Malachi Richardson,SG,United States,Charlotte Hornets,Syracuse,Yes,College Freshman,2016
1,23,Ante Žižić,C,Croatia,Boston Celtics,KK Cibona (Croatia),No,Playing Internationally,2016
1,24,Timothé Luwawu-Cabarrot,SG/SF,France,Philadelphia 76ers,Mega Leks (Serbia),Yes,Playing Internationally,2016
1,25,Brice Johnson,PF,United States,Los Angeles Clippers,North Carolina,No,College Senior,2016
1,26,Furkan Korkmaz,SG/SF,Turkey,Philadelphia 76ers,Anadolu Efes (Turkey),Yes,Playing Internationally,2016
1,27,Pascal Siakam,PF,Cameroon,Toronto Raptors,New Mexico State,No,College Sophmore,2016
1,28,Skal Labissière,PF/C,Haiti,Phoenix Suns,Kentucky,Yes,College Freshman,2016
1,29,Dejounte Murray,PG/SG,United States,San Antonio Spurs,Washington,No,College Freshman,2016
1,30,Damian Jones,C,United States,Golden State Warriors,Vanderbilt,No,College Junior,2016
2,31,Deyonta Davis,PF/C,United States,Boston Celtics,Michigan State,Yes,College Freshman,2016
2,32,Ivica Zubac,C,Croatia,Los Angeles Lakers,Mega Leks (Serbia),No,Playing Internationally,2016
2,33,Cheick Diallo,PF/C,Mali,Los Angeles Clippers,Kansas,Yes,College Freshman,2016
2,34,Tyler Ulis,PG,United States,Phoenix Suns,Kentucky,No,College Sophmore,2016
2,35,Rade Zagorac,SG/SF,Serbia,Boston Celtics,Mega Leks (Serbia),Yes,Playing Internationally,2016
2,36,Malcolm Brogdon,PG/SG,United States,Milwaukee Bucks,Virginia,Yes,College Senior,2016
2,37,Chinanu Onuaku,PF/C,United States,Houston Rockets,Louisville,Yes,College Sophmore,2016
2,38,Patrick McCaw,SG/SF,United States,Milwaukee Bucks,UNLV,Yes,College Sophmore,2016
2,39,David Michineau,PG,France,New Orleans Pelicans,Élan Chalon,Yes,College Freshman,2016
2,40,Diamond Stone,C,United States,New Orleans Pelicans,Maryland,Yes,College Freshman,2016
2,41,Stephen Zimmerman,PF/C,United States,Orlando Magic,UNLV,No,College Freshman,2016
2,42,Isaiah Whitehead,PG/SG,United States,Utah Jazz,Seton Hall,Yes,College Sophmore,2016
2,43,Zhou Qi,C,China,Houston Rockets,Xinjiang Flying Tigers (China),No,Playing Internationally,2016
2,44,Isaïa Cordinier,SG,France,Atlanta Hawks,ASC Denain-Voltaire,Yes,College Freshman,2016
2,45,Demetrius Jackson,PG,United States,Boston Celtics,Notre Dame,Yes,College Junior,2016
2,46,A. J. Hammons,C,United States,Dallas Mavericks,Purdue,No,College Senior,2016
2,47,Jake Layman,SF,United States,Orlando Magic,Maryland,Yes,College Senior,2016
2,48,Paul Zipser,SG/SF,Germany,Chicago Bulls,Bayern Munich (Germany),Yes,Playing Internationally,2016
2,49,Michael Gbinije,SF,Nigeria,Detroit Pistons,Syracuse,No,College Senior,2016
2,50,Georges Niang,PF,United States,Indiana Pacers,Iowa State,No,College Senior,2016
2,51,Ben Bentil,PF,Ghana,Boston Celtics,Providence,Yes,College Sophmore,2016
2,52,Joel Bolomboy,PF/C,Ukraine,Utah Jazz,Weber State,Yes,College Senior,2016
2,53,Petr Cornelie,PF,France,Denver Nuggets,Le Mans Sarthe,Yes,College Freshman,2016
2,54,Kay Felder,PG,United States,Atlanta Hawks,Oakland,Yes,College Junior,2016
2,55,Marcus Paige,PG,United States,Brooklyn Nets,North Carolina,Yes,College Senior,2016
2,56,Daniel Hamilton,SG/SF,United States,Denver Nuggets,Connecticut,Yes,College Sophmore,2016
2,57,Wang Zhelin,C,China,Memphis Grizzlies,Fujian Sturgeons (China),Yes,Playing Internationally,2016
2,58,Abdel Nader,SF,Egypt,Boston Celtics,Iowa State,Yes,College Senior,2016
2,59,Isaiah Cousins,PG/SG,United States,Sacramento Kings,Oklahoma,Yes,College Senior,2016
2,60,Tyrone Wallace,PG,United States,Utah Jazz,California,Yes,College Senior,2016
1,1,Markelle Fultz,PG/SG,United States,Philadelphia 76ers,Washington,Yes,College Freshman,2017
1,2,Lonzo Ball,PG,United States,Los Angeles Lakers,UCLA,No,College Freshman,2017
1,3,Jayson Tatum,SF,United States,Boston Celtics,Duke,Yes,College Freshman,2017
1,4,Josh Jackson,SF,United States,Phoenix Suns,Kansas,No,College Freshman,2017
1,5,De'Aaron Fox,PG,United States,Sacramento Kings,Kentucky,Yes,College Freshman,2017
1,6,Jonathan Isaac,SF/PF,United States,Orlando Magic,Florida State,No,College Freshman,2017
1,7,Lauri Markkanen,PF,Finland,Minnesota Timberwolves,Arizona,Yes,College Freshman,2017
1,8,Frank Ntilikina,PG,France,New York Knicks,SIG Strasbourg,No,College Freshman,2017
1,9,Dennis Smith Jr.,PG,United States,Dallas Mavericks,NC State,No,College Freshman,2017
1,10,Zach Collins,C/PF,United States,Sacramento Kings,Gonzaga,Yes,College Freshman,2017
1,11,Malik Monk,SG,United States,Charlotte Hornets,Kentucky,No,College Freshman,2017
1,12,Luke Kennard,SG,United States,Detroit Pistons,Duke,No,College Sophmore,2017
1,13,Donovan Mitchell,SG,United States,Denver Nuggets,Louisville,Yes,College Sophmore,2017
1,14,Bam Adebayo,PF/C,United States,Miami Heat,Kentucky,No,College Freshman,2017
1,15,Justin Jackson,SF,United States,Portland Trail Blazers,North Carolina,Yes,College Junior,2017
1,16,Justin Patton,C,United States,Chicago Bulls,Creighton,Yes,College Freshman,2017
1,17,D. J. Wilson,PF/SF,United States,Milwaukee Bucks,Michigan,No,College Junior,2017
1,18,T. J. Leaf,PF,Israel,Indiana Pacers,UCLA,No,College Freshman,2017
1,19,John Collins,PF,United States,Atlanta Hawks,Wake Forest,No,College Sophmore,2017
1,20,Harry Giles,PF/C,United States,Portland Trail Blazers,Duke,Yes,College Freshman,2017
1,21,Terrance Ferguson,SG,United States,Oklahoma City Thunder,Adelaide 36ers (Australia),No,Playing Internationally,2017
1,22,Jarrett Allen,C,United States,Brooklyn Nets,Texas,Yes,College Freshman,2017
1,23,OG Anunoby,SF,United Kingdom,Toronto Raptors,Indiana,Yes,College Sophmore,2017
1,24,Tyler Lydon,PF,United States,Utah Jazz,Syracuse,Yes,College Sophmore,2017
1,25,Anžejs Pasečņiks,C,Latvia,Orlando Magic,Herbalife Gran Canaria (Spain),Yes,Playing Internationally,2017
1,26,Caleb Swanigan,PF,United States,Portland Trail Blazers,Purdue,Yes,College Sophmore,2017
1,27,Kyle Kuzma,PF,United States,Brooklyn Nets,Utah,Yes,College Junior,2017
1,28,Tony Bradley,PF/C,United States,Los Angeles Lakers,North Carolina,Yes,College Freshman,2017
1,29,Derrick White,PG/SG,United States,San Antonio Spurs,Colorado,No,College Senior,2017
1,30,Josh Hart,SG,United States,Utah Jazz,Villanova,Yes,College Senior,2017
2,31,Frank Jackson,PG,United States,Charlotte Hornets,Duke,Yes,College Freshman,2017
2,32,Davon Reed,SG,United States,Phoenix Suns,Miami,No,College Senior,2017
2,33,Wes Iwundu,SF,United States,Orlando Magic,Kansas State,Yes,College Senior,2017
2,34,Frank Mason III,PG,United States,Sacramento Kings,Kansas,Yes,College Senior,2017
2,35,Ivan Rabb,PF,United States,Orlando Magic,California,Yes,College Sophmore,2017
2,36,Jonah Bolden,PF,Australia,Philadelphia 76ers,Crvena zvezda (Serbia),Yes,Playing Internationally,2017
2,37,Semi Ojeleye,SF/PF,United States,Boston Celtics,SMU,Yes,College Junior,2017
2,38,Jordan Bell,PF,United States,Chicago Bulls,Oregon,Yes,College Junior,2017
2,39,Jawun Evans,PG,United States,Philadelphia 76ers,Oklahoma State,Yes,College Sophmore,2017
2,40,Dwayne Bacon,SG,United States,New Orleans Pelicans,Florida State,Yes,College Sophmore,2017
2,41,Tyler Dorsey,SG,Greece,Atlanta Hawks,Oregon,Yes,College Sophmore,2017
2,42,Thomas Bryant,PF,United States,Utah Jazz,Indiana,Yes,College Sophmore,2017
2,43,Isaiah Hartenstein,PF/C,Germany,Houston Rockets,Žalgiris (Lithuania),Yes,Playing Internationally,2017
2,44,Damyean Dotson,SG,United States,New York Knicks,Houston,Yes,College Senior,2017
2,45,Dillon Brooks,SF,Canada,Houston Rockets,Oregon,Yes,College Junior,2017
2,46,Sterling Brown,SG,United States,Philadelphia 76ers,SMU,Yes,College Senior,2017
2,47,Ike Anigbogu,C,United States,Indiana Pacers,UCLA,No,College Freshman,2017
2,48,Sindarius Thornwell,SG,United States,Milwaukee Bucks,South Carolina,Yes,College Sophmore,2017
2,49,Vlatko Čančar,SF,Slovenia,Denver Nuggets,Mega Leks (Serbia),Yes,Playing Internationally,2017
2,50,Mathias Lessort,PF/C,France,Philadelphia 76ers,Nanterre 92,Yes,College Freshman,2017
2,51,Monté Morris,PG,United States,Denver Nuggets,Iowa State,Yes,College Senior,2017
2,52,Edmond Sumner,PG,United States,New Orleans Pelicans,Xavier,Yes,College Junior,2017
2,53,Kadeem Allen,SG,United States,Boston Celtics,Arizona,Yes,College Senior,2017
2,54,Alec Peters,SF,United States,Phoenix Suns,Valparaiso,Yes,College Senior,2017
2,55,Nigel Williams-Goss,PG,United States,Utah Jazz,Gonzaga,No,College Junior,2017
2,56,Jabari Bird,SG,United States,Boston Celtics,California,Yes,College Senior,2017
2,57,Sasha Vezenkov,PF,Bulgaria,Brooklyn Nets,FC Barcelona Lassa (Spain),Yes,Playing Internationally,2017
2,58,Ognjen Jaramaz,PG,Serbia,New York Knicks,Mega Leks (Serbia),Yes,Playing Internationally,2017
2,59,Jaron Blossomgame,SF,United States,San Antonio Spurs,Clemson,No,College Senior,2017
2,60,Alpha Kaba,PF/C,France,Atlanta Hawks,Mega Leks (Serbia),Yes,Playing Internationally,2017
1,1,Deandre Ayton,C,Bahamas,Phoenix Suns,Arizona,No,College Freshman,2018
1,2,Marvin Bagley III,PF,United States,Sacramento Kings,Duke,No,College Freshman,2018
1,3,Luka Dončić,PG,Slovenia,Atlanta Hawks,Real Madrid (Spain),Yes,Playing Internationally,2018
1,4,Jaren Jackson Jr.,PF,United States,Memphis Grizzlies,Michigan State,No,College Freshman,2018
1,5,Trae Young,PG,United States,Dallas Mavericks,Oklahoma,Yes,College Freshman,2018
1,6,Mo Bamba,C,United States,Orlando Magic,Texas,No,College Freshman,2018
1,7,Wendell Carter Jr.,C,United States,Chicago Bulls,Duke,No,College Freshman,2018
1,8,Collin Sexton,PG,United States,Cleveland Cavaliers,Alabama,Yes,College Freshman,2018
1,9,Kevin Knox,SF,United States,New York Knicks,Kentucky,No,College Freshman,2018
1,10,Mikal Bridges,SF,United States,Philadelphia 76ers,Villanova,Yes,College Junior,2018
1,11,Shai Gilgeous-Alexander,SG,Canada,Charlotte Hornets,Kentucky,Yes,College Freshman,2018
1,12,Miles Bridges,SF,United States,Los Angeles Clippers,Michigan State,Yes,College Sophmore,2018
1,13,Jerome Robinson,SG,United States,Los Angeles Clippers,Boston College,No,College Junior,2018
1,14,Michael Porter Jr.,SF,United States,Denver Nuggets,Missouri,No,College Freshman,2018
1,15,Troy Brown Jr.,SF,United States,Washington Wizards,Oregon,No,College Freshman,2018
1,16,Zhaire Smith,SG,United States,Phoenix Suns,Texas Tech,Yes,College Freshman,2018
1,17,Donte DiVincenzo,SG,United States,Milwaukee Bucks,Villanova,No,College Sophmore,2018
1,18,Lonnie Walker IV,SG,United States,San Antonio Spurs,Miami,No,College Freshman,2018
1,19,Kevin Huerter,SG,United States,Atlanta Hawks,Maryland,Yes,College Sophmore,2018
1,20,Josh Okogie,SG,United States,Minnesota Timberwolves,Georgia Tech,Yes,College Sophmore,2018
1,21,Grayson Allen,SG,United States,Utah Jazz,Duke,No,College Senior,2018
1,22,Chandler Hutchison,SF/SG,United States,Chicago Bulls,Boise State,Yes,College Senior,2018
1,23,Aaron Holiday,PG,United States,Indiana Pacers,UCLA,No,College Junior,2018
1,24,Anfernee Simons,SG,United States,Portland Trail Blazers,"IMG Academy (Bradenton, Florida; HSPg.)",No,Playing Internationally,2018
1,25,Moritz Wagner,PF,Germany,Los Angeles Lakers,Michigan,Yes,College Junior,2018
1,26,Landry Shamet,SG,United States,Philadelphia 76ers,Wichita State,No,College Sophmore,2018
1,27,Robert Williams III,PF/C,United States,Boston Celtics,Texas A&M,No,College Sophmore,2018
1,28,Jacob Evans,SG,United States,Golden State Warriors,Cincinnati,No,College Junior,2018
1,29,Džanan Musa,SF,Bosnia and Herzegovina,Brooklyn Nets,Cedevita Zagreb (Croatia),Yes,Playing Internationally,2018
1,30,Omari Spellman,PF,United States,Atlanta Hawks,Villanova,Yes,College Freshman,2018
2,31,Élie Okobo,PG,France,Phoenix Suns,Pau-Lacq-Orthez,No,College Freshman,2018
2,32,Jevon Carter,PG,United States,Memphis Grizzlies,West Virginia,No,College Senior,2018
2,33,Jalen Brunson,PG,United States,Dallas Mavericks,Villanova,No,College Junior,2018
2,34,Devonte' Graham,PG,United States,Atlanta Hawks,Kansas,Yes,College Senior,2018
2,35,Melvin Frazier,SF,United States,Orlando Magic,Tulane,No,College Junior,2018
2,36,Mitchell Robinson,C,United States,New York Knicks,Chalmette HS,Yes,College Senior,2018
2,37,Gary Trent Jr.,SG,United States,Sacramento Kings,Duke,Yes,College Freshman,2018
2,38,Khyri Thomas,SG,United States,Philadelphia 76ers,Creighton,Yes,College Junior,2018
2,39,Isaac Bonga,SF,Germany,Philadelphia 76ers,Frankfurt Skyliners,Yes,College Freshman,2018
2,40,Rodions Kurucs,SF,Latvia,Brooklyn Nets,FC Barcelona Lassa (Spain),Yes,Playing Internationally,2018
2,41,Jarred Vanderbilt,SF,United States,Orlando Magic,Kentucky,Yes,College Freshman,2018
2,42,Bruce Brown Jr.,SG,United States,Detroit Pistons,Miami,No,College Sophmore,2018
2,43,Justin Jackson,SF,Canada,Denver Nuggets,Maryland,Yes,College Sophmore,2018
2,44,Issuf Sanon,PG,Ukraine,Washington Wizards,Olimpija Ljubljana (Slovenia),No,Playing Internationally,2018
2,45,Hamidou Diallo,SG,United States,Brooklyn Nets,Kentucky,Yes,College Freshman,2018
2,46,De'Anthony Melton,SG,United States,Houston Rockets,USC,Yes,College Sophmore,2018
2,47,Sviatoslav Mykhailiuk,SG,Ukraine,Los Angeles Lakers,Kansas,Yes,College Senior,2018
2,48,Keita Bates-Diop,SF,United States,Minnesota Timberwolves,Ohio State,No,College Junior,2018
2,49,Chimezie Metu,PF,United States,San Antonio Spurs,USC,No,College Junior,2018
2,50,Alize Johnson,PF,United States,Indiana Pacers,Missouri State,No,College Senior,2018
2,51,Tony Carr,PG,United States,New Orleans Pelicans,Penn State,Yes,College Sophmore,2018
2,52,Vincent Edwards,SF,United States,Utah Jazz,Purdue,Yes,College Senior,2018
2,53,Devon Hall,SG,United States,Oklahoma City Thunder,Virginia,No,College Senior,2018
2,54,Shake Milton,SG,United States,Dallas Mavericks,SMU,Yes,College Junior,2018
2,55,Arnoldas Kulboka,SF,Lithuania,Charlotte Hornets,Orlandina Basket (Italy),Yes,Playing Internationally,2018
2,56,Ray Spalding,PF,United States,Philadelphia 76ers,Louisville,Yes,College Junior,2018
2,57,Kevin Hervey,PF,United States,Oklahoma City Thunder,Texas-Arlington,Yes,College Senior,2018
2,58,Thomas Welsh,C,United States,Denver Nuggets,UCLA,Yes,College Senior,2018
2,59,George King,SG,United States,Phoenix Suns,Colorado,Yes,College Senior,2018
2,60,Kostas Antetokounmpo,SF/PF,Greece,Philadelphia 76ers,Dayton,Yes,College Freshman,2018
1,1,Zion Williamson,PF,United States,New Orleans Pelicans,Duke,No,College Freshman,2019
1,2,Ja Morant,PG,United States,Memphis Grizzlies,Murray State,No,College Sophmore,2019
1,3,RJ Barrett,SG/SF,Canada,New York Knicks,Duke,No,College Freshman,2019
1,4,De'Andre Hunter,SF,United States,Los Angeles Lakers,Virginia,Yes,College Sophmore,2019
1,5,Darius Garland,PG,United States,Cleveland Cavaliers,Vanderbilt,No,College Freshman,2019
1,6,Jarrett Culver,SG,United States,Phoenix Suns,Texas Tech,Yes,College Sophmore,2019
1,7,Coby White,PG,United States,Chicago Bulls,North Carolina,No,College Freshman,2019
1,8,Jaxson Hayes,C,United States,Atlanta Hawks,Texas,Yes,College Freshman,2019
1,9,Rui Hachimura,PF,Japan,Washington Wizards,Gonzaga,No,College Junior,2019
1,10,Cam Reddish,SF,United States,Atlanta Hawks,Duke,Yes,College Freshman,2019
1,11,Cameron Johnson,SF,United States,Minnesota Timberwolves,North Carolina,Yes,College Senior,2019
1,12,P. J. Washington,PF,United States,Charlotte Hornets,Kentucky,No,College Sophmore,2019
1,13,Tyler Herro,SG,United States,Miami Heat,Kentucky,No,College Freshman,2019
1,14,Romeo Langford,SG,United States,Boston Celtics,Indiana,Yes,College Freshman,2019
1,15,Sekou Doumbouya,SF,France,Detroit Pistons,Limoges CSP,No,College Freshman,2019
1,16,Chuma Okeke,PF,United States,Orlando Magic,Auburn,No,College Sophmore,2019
1,17,Nickeil Alexander-Walker,SG,Canada,Brooklyn Nets,Virginia Tech,Yes,College Sophmore,2019
1,18,Goga Bitadze,C,Georgia,Indiana Pacers,Mega Bemax (Serbia),No,Playing Internationally,2019
1,19,Luka Šamanić,PF,Croatia,San Antonio Spurs,Olimpija Ljubljana (Slovenia),No,Playing Internationally,2019
1,20,Matisse Thybulle,SF,Australia,Boston Celtics,Washington,Yes,College Senior,2019
1,21,Brandon Clarke,PF,Canada,Oklahoma City Thunder,Gonzaga,Yes,College Junior,2019
1,22,Grant Williams,PF,United States,Boston Celtics,Tennessee,No,College Junior,2019
1,23,Darius Bazley,SF,United States,Utah Jazz,Princeton HS,Yes,College Senior,2019
1,24,Ty Jerome,PG,United States,Philadelphia 76ers,Virginia,Yes,College Junior,2019
1,25,Nassir Little,SF,United States,Portland Trail Blazers,North Carolina,No,College Freshman,2019
1,26,Dylan Windler,SF,United States,Cleveland Cavaliers,Belmont,Yes,College Senior,2019
1,27,Mfiondu Kabengele,C,Canada,Brooklyn Nets,Florida State,Yes,College Sophmore,2019
1,28,Jordan Poole,SG,United States,Golden State Warriors,Michigan,No,College Sophmore,2019
1,29,Keldon Johnson,SF,United States,San Antonio Spurs,Kentucky,Yes,College Freshman,2019
1,30,Kevin Porter Jr.,SG,United States,Milwaukee Bucks,USC,Yes,College Freshman,2019
2,31,Nic Claxton,PF,U.S. Virgin Islands,Brooklyn Nets,Georgia,Yes,College Sophmore,2019
2,32,KZ Okpala,SF,United States,Phoenix Suns,Stanford,Yes,College Sophmore,2019
2,33,Carsen Edwards,PG,United States,Philadelphia 76ers,Purdue,Yes,College Junior,2019
2,34,Bruno Fernando,C,Angola,Philadelphia 76ers,Maryland,Yes,College Sophmore,2019
2,35,Didi Louzada,SF,Brazil,Atlanta Hawks,Sesi/Franca,Yes,College Freshman,2019
2,36,Cody Martin,SF,United States,Charlotte Hornets,Nevada,Yes,College Senior,2019
2,37,Deividas Sirvydis,SF,Lithuania,Dallas Mavericks,Rytas Vilnius (Lithuania),Yes,Playing Internationally,2019
2,38,Daniel Gafford,C,United States,Chicago Bulls,Arkansas,Yes,College Sophmore,2019
2,39,Alen Smailagić,C,Serbia,New Orleans Pelicans,Santa Cruz Warriors,Yes,NBA G League Player,2019
